fuel_type,in_state_generation_GWh,percent_generation,northwest_imports_GWh,southwest_imports_GWh,energy_mix_GWh,power_mix,year
Coal,1011,0.51%,0,17877,18888,6.36%,2014
Large Hydro,13739,6.90%,160,2138,16037,5.40%,2014
Natural Gas,122005,61.25%,1,10151,132157,44.49%,2014
Nuclear,17027,8.55%,0,8193,25220,8.49%,2014
Oil,45,0.02%,0,0,45,0.01%,2014
Other,16,0.01%,0,0,16,0.01%,2014
Renewables,45350,22.77%,11423,3493,60266,20.29%,2014
Biomass,6768,3.40%,762,24,7554,2.54%,2014
Geothermal,12186,6.12%,150,694,13030,4.39%,2014
Small Hydro,2737,1.37%,361,0,3098,1.04%,2014
Solar,10585,5.31%,0,2009,12594,4.24%,2014
Wind,13074,6.56%,10151,766,23991,8.08%,2014
Unspecified Sources of Power,N/A,N/A,25676,18757,44433,14.96%,2014
